Date,Close
3/3/2015 16:00:00,15.79
3/4/2015 16:00:00,15.71
3/5/2015 16:00:00,15.7
3/6/2015 16:00:00,15.46
3/9/2015 16:00:00,15.35
3/10/2015 16:00:00,15.04
3/11/2015 16:00:00,15.02
3/12/2015 16:00:00,15.14
3/13/2015 16:00:00,14.91
3/16/2015 16:00:00,14.98
3/17/2015 16:00:00,14.96
3/18/2015 16:00:00,15.29
3/19/2015 16:00:00,15.08
3/20/2015 16:00:00,15.24
3/23/2015 16:00:00,15.24
3/24/2015 16:00:00,15.24
3/25/2015 16:00:00,15.05
3/26/2015 16:00:00,14.98
3/27/2015 16:00:00,15.08
3/30/2015 16:00:00,15.32
3/31/2015 16:00:00,15.26
4/1/2015 16:00:00,15.41
4/2/2015 16:00:00,15.66
4/6/2015 16:00:00,15.82
4/7/2015 16:00:00,15.71
4/8/2015 16:00:00,16.02
4/9/2015 16:00:00,16.21
4/10/2015 16:00:00,16.2
4/13/2015 16:00:00,16.15
4/14/2015 16:00:00,16.23
4/15/2015 16:00:00,16.32
4/16/2015 16:00:00,16.47
4/17/2015 16:00:00,16.2
4/20/2015 16:00:00,16.18
4/21/2015 16:00:00,16.22
4/22/2015 16:00:00,16.29
4/23/2015 16:00:00,16.4
4/24/2015 16:00:00,16.39
4/27/2015 16:00:00,16.46
4/28/2015 16:00:00,16.48
4/29/2015 16:00:00,16.27
4/30/2015 16:00:00,16.04
5/1/2015 16:00:00,15.97
5/4/2015 16:00:00,15.93
5/5/2015 16:00:00,15.86
5/6/2015 16:00:00,15.75
5/7/2015 16:00:00,15.72
5/8/2015 16:00:00,15.79
5/11/2015 16:00:00,15.73
5/12/2015 16:00:00,15.69
5/13/2015 16:00:00,15.71
5/14/2015 16:00:00,15.9
5/15/2015 16:00:00,16
5/18/2015 16:00:00,15.89
5/19/2015 16:00:00,15.89
5/20/2015 16:00:00,15.77
5/21/2015 16:00:00,15.64
5/22/2015 16:00:00,15.72
5/26/2015 16:00:00,15.47
5/27/2015 16:00:00,15.35
5/28/2015 16:00:00,15.1
5/29/2015 16:00:00,15.08
6/1/2015 16:00:00,15.06
6/2/2015 16:00:00,15.12
6/3/2015 16:00:00,15.13
6/4/2015 16:00:00,14.96
6/5/2015 16:00:00,14.94
6/8/2015 16:00:00,14.86
6/9/2015 16:00:00,14.71
6/10/2015 16:00:00,14.87
6/11/2015 16:00:00,14.94
6/12/2015 16:00:00,14.9
6/15/2015 16:00:00,14.65
6/16/2015 16:00:00,14.73
6/17/2015 16:00:00,14.76
6/18/2015 16:00:00,14.84
6/19/2015 16:00:00,14.73
6/22/2015 16:00:00,14.84
6/23/2015 16:00:00,14.92
6/24/2015 16:00:00,14.83
6/25/2015 16:00:00,14.81
6/26/2015 16:00:00,14.62
6/29/2015 16:00:00,14.36
6/30/2015 16:00:00,14.56
7/1/2015 16:00:00,14.57
7/2/2015 16:00:00,14.58
7/6/2015 16:00:00,14.3
7/7/2015 16:00:00,14.19
7/8/2015 16:00:00,13.61
7/9/2015 16:00:00,13.84
7/10/2015 16:00:00,14.2
7/13/2015 16:00:00,14.14
7/14/2015 16:00:00,14.06
7/15/2015 16:00:00,13.86
7/16/2015 16:00:00,14.02
7/17/2015 16:00:00,13.96
7/20/2015 16:00:00,13.91
7/21/2015 16:00:00,13.69
7/22/2015 16:00:00,13.57
7/23/2015 16:00:00,13.41
7/24/2015 16:00:00,13.22
7/27/2015 16:00:00,12.79
7/28/2015 16:00:00,12.93
7/29/2015 16:00:00,13.03
7/30/2015 16:00:00,12.94
7/31/2015 16:00:00,12.98
8/3/2015 16:00:00,12.92
8/4/2015 16:00:00,12.95
8/5/2015 16:00:00,12.83
8/6/2015 16:00:00,12.8
8/7/2015 16:00:00,12.74
8/10/2015 16:00:00,12.93
8/11/2015 16:00:00,12.59
8/12/2015 16:00:00,12.46
8/13/2015 16:00:00,12.48
8/14/2015 16:00:00,12.44
8/17/2015 16:00:00,12.38
8/18/2015 16:00:00,12.21
