Date,Close
3/3/2015 16:00:00,37.23
3/4/2015 16:00:00,35.88
3/5/2015 16:00:00,36.63
3/6/2015 16:00:00,35.47
3/9/2015 16:00:00,34.49
3/10/2015 16:00:00,33.82
3/11/2015 16:00:00,35.02
3/12/2015 16:00:00,34.23
3/13/2015 16:00:00,33.5
3/16/2015 16:00:00,33
3/17/2015 16:00:00,33.41
3/18/2015 16:00:00,35.61
3/19/2015 16:00:00,33.9
3/20/2015 16:00:00,34.33
3/23/2015 16:00:00,34.19
3/24/2015 16:00:00,34.64
3/25/2015 16:00:00,34.56
3/26/2015 16:00:00,34.5
3/27/2015 16:00:00,33.85
3/30/2015 16:00:00,35.14
3/31/2015 16:00:00,35.08
4/1/2015 16:00:00,36.28
4/2/2015 16:00:00,37.94
4/6/2015 16:00:00,38.99
4/7/2015 16:00:00,39.29
4/8/2015 16:00:00,40.38
4/9/2015 16:00:00,40.06
4/10/2015 16:00:00,39.29
4/13/2015 16:00:00,38.81
4/14/2015 16:00:00,40.6
4/15/2015 16:00:00,43.19
4/16/2015 16:00:00,42.17
4/17/2015 16:00:00,41.13
4/20/2015 16:00:00,42.21
4/21/2015 16:00:00,40.17
4/22/2015 16:00:00,40.68
4/23/2015 16:00:00,40.94
4/24/2015 16:00:00,41.02
4/27/2015 16:00:00,41.72
4/28/2015 16:00:00,42.71
4/29/2015 16:00:00,42.08
4/30/2015 16:00:00,40.55
5/1/2015 16:00:00,36.91
5/4/2015 16:00:00,36.06
5/5/2015 16:00:00,35.57
5/6/2015 16:00:00,35.29
5/7/2015 16:00:00,35.42
5/8/2015 16:00:00,35.8
5/11/2015 16:00:00,36.05
5/12/2015 16:00:00,35.39
5/13/2015 16:00:00,36
5/14/2015 16:00:00,35.64
5/15/2015 16:00:00,35.19
5/18/2015 16:00:00,35.6
5/19/2015 16:00:00,36.03
5/20/2015 16:00:00,36.69
5/21/2015 16:00:00,36.39
5/22/2015 16:00:00,34.81
5/26/2015 16:00:00,33.42
5/27/2015 16:00:00,32.98
5/28/2015 16:00:00,33.13
5/29/2015 16:00:00,32.46
6/1/2015 16:00:00,32.92
6/2/2015 16:00:00,33.24
6/3/2015 16:00:00,32.9
6/4/2015 16:00:00,32.17
6/5/2015 16:00:00,32.32
6/8/2015 16:00:00,32.32
6/9/2015 16:00:00,32.4
6/10/2015 16:00:00,33.45
6/11/2015 16:00:00,34.54
6/12/2015 16:00:00,35.77
6/15/2015 16:00:00,34.82
6/16/2015 16:00:00,34.82
6/17/2015 16:00:00,34.66
6/18/2015 16:00:00,34.24
6/19/2015 16:00:00,34.76
6/22/2015 16:00:00,34.46
6/23/2015 16:00:00,34.27
6/24/2015 16:00:00,35.26
6/25/2015 16:00:00,35.32
6/26/2015 16:00:00,37.01
6/29/2015 16:00:00,35.01
6/30/2015 16:00:00,35.75
7/1/2015 16:00:00,34.02
7/2/2015 16:00:00,36.79
7/6/2015 16:00:00,35.27
7/7/2015 16:00:00,35.61
7/8/2015 16:00:00,34.72
7/9/2015 16:00:00,34.98
7/10/2015 16:00:00,33.57
7/13/2015 16:00:00,34.3
7/14/2015 16:00:00,34.49
7/15/2015 16:00:00,33.21
7/16/2015 16:00:00,33.32
7/17/2015 16:00:00,33.04
7/20/2015 16:00:00,31.96
7/21/2015 16:00:00,32.3
7/22/2015 16:00:00,31.35
7/23/2015 16:00:00,31.25
7/24/2015 16:00:00,30.15
7/27/2015 16:00:00,29.96
7/28/2015 16:00:00,30.26
7/29/2015 16:00:00,31.35
7/30/2015 16:00:00,28.02
7/31/2015 16:00:00,27.3
8/3/2015 16:00:00,25.86
8/4/2015 16:00:00,25.66
8/5/2015 16:00:00,25.37
8/6/2015 16:00:00,26.68
8/7/2015 16:00:00,26.32
8/10/2015 16:00:00,26.94
8/11/2015 16:00:00,25.87
8/12/2015 16:00:00,25.51
8/13/2015 16:00:00,24.81
8/14/2015 16:00:00,24.72
8/17/2015 16:00:00,25.06
8/18/2015 16:00:00,24.54
8/19/2015 16:00:00,23.74
8/20/2015 16:00:00,22.59
8/21/2015 16:00:00,22.4
8/24/2015 16:00:00,21.84
8/25/2015 16:00:00,21.56
8/26/2015 16:00:00,21.96
8/27/2015 16:00:00,23.26
8/28/2015 16:00:00,24.36
8/31/2015 16:00:00,25.56
9/1/2015 16:00:00,23.63
9/2/2015 16:00:00,23.25
9/3/2015 16:00:00,23.5
9/4/2015 16:00:00,23.28
9/8/2015 16:00:00,23.31
9/9/2015 16:00:00,22.93
9/10/2015 16:00:00,22.61
9/11/2015 16:00:00,23.04
9/14/2015 16:00:00,22.13
9/15/2015 16:00:00,22.55
9/16/2015 16:00:00,22.84
9/17/2015 16:00:00,22.13
9/18/2015 16:00:00,21.25
9/21/2015 16:00:00,21.24
9/22/2015 16:00:00,21.03
9/23/2015 16:00:00,20.32
9/24/2015 16:00:00,19.97
9/25/2015 16:00:00,19.84
9/28/2015 16:00:00,18.57
9/29/2015 16:00:00,18.59
9/30/2015 16:00:00,19.21
10/1/2015 16:00:00,19.46
10/2/2015 16:00:00,21.03
10/5/2015 16:00:00,23.13
10/6/2015 16:00:00,22.99
10/7/2015 16:00:00,23.66
10/8/2015 16:00:00,24.3
10/9/2015 16:00:00,23.09
10/12/2015 16:00:00,22.4
10/13/2015 16:00:00,21.96
10/14/2015 16:00:00,22.01
10/15/2015 16:00:00,22.42
10/16/2015 16:00:00,21.7
10/19/2015 16:00:00,21
10/20/2015 16:00:00,21.71
10/21/2015 16:00:00,21.11
10/22/2015 16:00:00,22.15
10/23/2015 16:00:00,22
10/26/2015 16:00:00,21.87
10/27/2015 16:00:00,20.61
10/28/2015 16:00:00,21.61
10/29/2015 16:00:00,16.46
10/30/2015 16:00:00,17.19
11/2/2015 16:00:00,18.79
11/3/2015 16:00:00,19.58
11/4/2015 16:00:00,18.36
11/5/2015 16:00:00,19.39
11/6/2015 16:00:00,19.83
11/9/2015 16:00:00,19.58
11/10/2015 16:00:00,19.96
11/11/2015 16:00:00,19.28
